Age,Plat,Plon,Theta 95,max lat,min lat,max lon,min lon
2.0,-88.55886215416682,-45.61250408345658,1.8153106619501287,-90.0,-86.76310825569573,-138.6488444894724,27.91299961273319
3.0,-87.96607063370418,-45.41519670538177,1.7460148915832008,-89.63590265421404,-86.23632806020328,-103.58156325011623,11.49679684010063
4.0,-87.82945444851322,-39.371254538657475,1.7906255073166824,-89.59595004846517,-86.13173310901688,-92.37038150753727,6.978260035641389
5.0,-87.53076493719983,-38.428895346950995,1.9568965901001365,-89.34029462918122,-85.60603027370638,-85.27680148620578,11.525335859878721
6.0,-87.2998393344748,-35.650853003756964,1.9242715356912656,-88.79677883240127,-85.59964889311745,-72.63400016706862,2.018802580534257
7.0,-86.84577050478246,-32.385098530543274,2.130349139807794,-88.8562589548106,-84.76424945582039,-68.77143502701415,4.607381696918149
8.0,-86.63713934350605,-27.204695263015005,2.3629118405875382,-88.77066683517579,-84.3263851903496,-66.3659233865884,4.684061394221793
9.0,-86.35094910869411,-25.031178850496556,2.5509231296421837,-88.55848550767729,-83.94433604679816,-69.1311320302965,13.667812183080855
10.0,-86.0284235578757,-22.196888017718578,2.213887481026441,-87.90379330492638,-84.12523820087793,-53.01366541504234,5.1526773545001845
11.0,-85.70757754740524,-20.333238346590935,2.743147609664093,-88.02925878835954,-83.12632151650912,-59.670855702402264,14.740603221632613
12.0,-85.23898400343964,-18.789866203983088,2.718898047226832,-87.61209938735114,-82.6049998635611,-39.65036993772998,7.708433516604985
13.0,-84.74377241506744,-17.49586284140226,3.339065939254736,-87.52472145226875,-81.5954979192292,-46.3781611212375,16.697930922679205
14.0,-84.48614490692118,-15.94695248679203,3.16747156432662,-87.44797357770564,-81.36021268102277,-48.03660548320306,15.041728969874077
15.0,-84.05396503160262,-16.81563247209563,3.453826849017218,-87.43489639968708,-81.07332695293792,-46.834063327497006,13.312297832641576
16.0,-83.75492321791499,-14.811686725810754,3.261098330487385,-86.9425622697855,-80.52783463784138,-43.123506439069445,14.471508380539191
17.0,-83.42573694008989,-16.3558865494528,3.36697556824018,-86.69089000361788,-80.13539104726726,-43.75792089498589,9.451816262250725
18.0,-83.24959214786185,-13.646841680686713,3.118192066939226,-86.2366905036965,-80.34018129441318,-38.26159111392087,12.593302411145642
19.0,-83.01037070606745,-14.260395988782784,3.314041445326505,-85.81518408981661,-79.95705421542549,-42.17542015699871,9.071868043251008
20.0,-82.67296898215298,-13.299250041798505,3.1714521473013004,-85.59229763305387,-79.64829383241067,-35.987641392403475,9.758279686231928
