tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
0.973	0.983	0.963	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.7	23.7	50.8	62.0	7	n	Abrigo III	Igneous:Extrusive	Lava	35.96	Rhyolite	Valles Caldera volcanics	253.51	LP-DIR-AF: LP-DIR-T	S37					69.8489695899248	349.4002032070469
1.199	1.229	1.169	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': 0.005, '2sig_max': 0.017, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.3	213.6	-44.6	132.0	7	r	Del Medio I	Igneous:Extrusive	Lava	35.91	Rhyolite	Valles Caldera volcanics	253.52	LP-DIR-AF: LP-DIR-T	S35					-59.81863893018551	172.67313647919502
1.199	1.229	1.169	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': 0.005, '2sig_max': 0.017, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.3	178.9	-48.5	79.0	8	r	Del Medio II	Igneous:Extrusive	Lava	35.92	Rhyolite	Valles Caldera volcanics	253.54	LP-DIR-AF: LP-DIR-T	S34					-83.48687854668906	262.01290688192245
1.25	1.26	1.24	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 1.0, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.6	174.2	-35.5	560.0	7	r	Bandelier Tuff Upper member	Igneous:Extrusive	Tuff	35.83	Felsic tuff	Valles Caldera volcanics	253.66	LP-DIR-AF: LP-DIR-T	Anorthoclase unit					-73.01427118716877	272.67546260611476
1.25	1.26	1.24	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 1.0, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.8	174.8	-34.2	1116.0	4	r	Bandelier Tuff Upper member	Igneous:Extrusive	Tuff	35.77	Felsic tuff	Valles Caldera volcanics	253.26	LP-DIR-AF: LP-DIR-T	5					-72.38879355552818	269.73690467194297
1.25	1.26	1.24	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 1.0, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.9	176.6	-32.9	542.0	6	r	Bandelier Tuff Upper member	Igneous:Extrusive	Tuff	35.77	Felsic tuff	Valles Caldera volcanics	253.26	LP-DIR-AF: LP-DIR-T	4					-71.90222306570304	263.7259053693735
1.25	1.26	1.24	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 1.0, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.2	173.4	-34.8	119.0	6	r	Bandelier Tuff Upper member	Igneous:Extrusive	Tuff	35.77	Felsic tuff	Valles Caldera volcanics	253.26	LP-DIR-AF: LP-DIR-T	3					-72.40318730924498	274.3062460244244
1.25	1.26	1.24	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 1.0, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.9	169.3	-26.6	74.0	6	r	Bandelier Tuff Upper member	Igneous:Extrusive	Tuff	35.77	Felsic tuff	Valles Caldera volcanics	253.26	LP-DIR-AF: LP-DIR-T	2					-66.25724365577823	279.8321885086236
1.25	1.26	1.24	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 1.0, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.4	173.4	-37.7	185.0	7	r	Bandelier Tuff Upper member	Igneous:Extrusive	Tuff	35.83	Felsic tuff	Valles Caldera volcanics	253.63	LP-DIR-AF: LP-DIR-T	1					-74.2067840434898	276.8282932401004
1.25	1.26	1.24	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 1.0, 'synch_unit': 'M1', 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.0	173.6	-33.8	139.0	36	r	Bandelier Tuff Upper member	Igneous:Extrusive	Tuff	35.77	Felsic tuff	Valles Caldera volcanics	253.26	LP-DIR-AF: LP-DIR-T	S31 (Upper member mean)					-71.8335603288622	273.0782545922655
1.61	1.62	1.6	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 2.0, 'synch_unit': 2, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.6	172.5	-44.5	207.0	5	r	Bandelier Tuff Lower member	Igneous:Extrusive	Tuff	35.84	Felsic tuff	Valles Caldera volcanics	253.35	LP-DIR-AF: LP-DIR-T	6					-78.39527380097923	288.96739258620323
1.61	1.62	1.6	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 2.0, 'synch_unit': 2, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.6	170.8	-48.6	355.0	6	r	Bandelier Tuff Lower member	Igneous:Extrusive	Tuff	35.84	Felsic tuff	Valles Caldera volcanics	253.35	LP-DIR-AF: LP-DIR-T	5					-80.0394108356505	306.86576314157674
1.61	1.62	1.6	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 2.0, 'synch_unit': 2, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.0	174.8	-44.5	285.0	6	r	Bandelier Tuff Lower member	Igneous:Extrusive	Tuff	35.93	Felsic tuff	Valles Caldera volcanics	253.29	LP-DIR-AF: LP-DIR-T	4					-79.27355599967538	279.2058073782496
1.61	1.62	1.6	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 2.0, 'synch_unit': 2, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.0	171.3	-44.7	268.0	5	r	Bandelier Tuff Lower member	Igneous:Extrusive	Tuff	35.93	Felsic tuff	Valles Caldera volcanics	253.29	LP-DIR-AF: LP-DIR-T	3					-77.85905916022986	293.426624954473
1.61	1.62	1.6	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 2.0, 'synch_unit': 2, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.0	176.1	-47.1	182.0	6	r	Bandelier Tuff Lower member	Igneous:Extrusive	Tuff	35.93	Felsic tuff	Valles Caldera volcanics	253.29	LP-DIR-AF: LP-DIR-T	2					-81.67222089564643	277.7173967384465
1.61	1.62	1.6	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 2.0, 'synch_unit': 2, 'rej_crit': [12], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.4	177.8	-45.2	398.0	6	r	Bandelier Tuff Lower member	Igneous:Extrusive	Tuff	35.93	Felsic tuff	Valles Caldera volcanics	253.29	LP-DIR-AF: LP-DIR-T	1					-80.60636780253486	265.41648072280896
1.61	1.62	1.6	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 2.0, 'synch_unit': 'M2', 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	1.6	174.0	-45.9	244.0	34	r	Bandelier Tuff Lower member	Igneous:Extrusive	Tuff	35.93	Felsic tuff	Valles Caldera volcanics	253.29	LP-DIR-AF: LP-DIR-T	S30 (Lower member mean)					-79.96936367085225	285.5207036236367
3.44	3.7399999999999998	3.14	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'not clear why not included in pole of Mankinen (2008) [perhaps because not well dated?]', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.9	12.2	44.4	169.0	5	n	Sawyer Dome	Igneous:Extrusive	Tuff	35.85	Felsic tuff	Valles Caldera volcanics	253.56	LP-DIR-AF: LP-DIR-T	S29					75.7149309936954	23.278805085570365
